,bpm_elgendi,hrv_elgendi
0,81.70143098048347,734.7131147540983
1,77.20452785093552,782.0960698689956
2,85.80189733638686,699.6862745098039
3,96.5743333585711,621.6319444444445
4,100.99400320903153,594.1196013289036
5,67.30611454750778,891.7
6,90.95511808378778,659.7785977859778
7,71.75041184041788,836.7289719626168
8,105.27421798160049,570.0955414012739
9,66.23566861631254,906.1928934010152
10,98.17260055703129,611.5699658703072
11,93.58075121642699,642.8673835125448
12,75.62049863614116,796.2946428571429
13,66.39347590760266,903.9593908629441
14,70.12301512510845,856.3636363636364
15,88.88147436576007,675.1698113207547
16,91.69153437401465,655.8241758241758
17,94.06442752879794,637.9285714285714
18,99.43261047610093,603.7037037037037
19,88.58071536824869,678.16
20,87.91273475052681,682.6717557251908
21,87.2289978725605,688.4615384615385
22,87.50398141036563,686.2068965517242
23,96.13486587511693,624.1811846689895
24,114.60966376950067,523.5672514619883
